Lattice Type,Dimension,Avg Acceptance Rate,Avg ESS,Avg TV Distance,Avg Speedup,Num Experiments
identity,4,0.6427,183.31605407253082,0.9999999999999648,2.12662587156158,8
identity,8,0.631,72.93044373534745,0.9999999999999672,5.07653168926294,6
identity,16,0.6253,34.54962815496145,0.9999999999999669,20.15032146354371,5
identity,32,0.6214999999999999,16.133218467646188,0.9999999999999738,139.10123911708655,4
q-ary,8,0.6323333333333333,73.67678706466937,,5.039436074323344,5
q-ary,16,0.617625,31.95465224693908,,20.783122733741976,4
q-ary,32,0.6126666666666666,14.756530520890331,,143.6825599664751,3
NTRU,512,0.0,500.0,,16.671441160378382,3
PrimeCyclotomic,683,0.0,500.0,,18.824560805995734,3
