basis_type,dimension,sigma,sigma_ratio,acceptance_rate,imhk_time,num_samples,ess,tv_distance
identity,8,0.7667432567442026,0.5,0.334,0.4423942565917969,1000,[352.3901965501994],1.0
identity,8,1.5334865134884053,1.0,0.36533333333333334,0.5580742359161377,1000,[271.31092616903754],0.999778062510421
identity,8,2.3002297702326078,1.5,0.38,0.6543581485748291,1000,[132.09690401064674],0.9999020465180001
identity,8,3.0669730269768105,2.0,0.32266666666666666,0.768625020980835,1000,[220.23410613646487],0.9999999999999922
identity,8,3.8337162837210133,2.5,0.3606666666666667,0.8834021091461182,1000,[164.90850090582438],0.9999999999999828
identity,8,4.6004595404652155,3.0,0.3413333333333333,0.9729781150817871,1000,[273.04676774412735],0.9999999999999901
q-ary,8,0.06168936042969099,0.5,1.0,1.2434358596801758,1000,[1000],0.5
q-ary,8,0.12337872085938198,1.0,1.0,1.2452540397644043,1000,[1000],0.5
q-ary,8,0.18506808128907298,1.5000000000000002,1.0,1.2812221050262451,1000,[1000],0.5
q-ary,8,0.24675744171876396,2.0,1.0,1.3094332218170166,1000,[1000],0.5
q-ary,8,0.30844680214845493,2.5,1.0,1.3202769756317139,1000,[1000],0.5
q-ary,8,0.37013616257814597,3.0000000000000004,1.0,1.3143792152404785,1000,[1000],0.5
identity,16,0.8019065542822736,0.5,0.18666666666666668,1.0121231079101562,1000,[155.18841333647302],1.0
identity,16,1.6038131085645473,1.0,0.18,1.2441730499267578,1000,[53.75075711835695],1.0
identity,16,2.405719662846821,1.5,0.18133333333333335,1.4741590023040771,1000,[96.66588189656773],0.9999999999999778
identity,16,3.2076262171290946,2.0,0.12866666666666668,1.7098898887634277,1000,[44.99533284044961],1.0
identity,16,4.009532771411369,2.5000000000000004,0.17733333333333334,1.9195280075073242,1000,[57.57978397149193],1.0
q-ary,16,0.006689330441368006,0.5,1.0,7.149621963500977,1000,[1000],0.5
q-ary,16,0.013378660882736012,1.0,1.0,7.254016160964966,1000,[1000],0.5
q-ary,16,0.020067991324104018,1.5,1.0,7.205749988555908,1000,[1000],0.5
q-ary,16,0.026757321765472023,2.0,1.0,7.244561195373535,1000,[1000],0.5
q-ary,16,0.03344665220684003,2.5,1.0,7.217142105102539,1000,[1000],0.5
NTRU,512,4.434230485664903,0.8,0.0,1.5650696754455566,1000,[1000],
NTRU,512,5.542788107081129,1.0,0.0,1.6711602210998535,1000,[1000],
NTRU,512,6.651345728497354,1.2,0.0,1.6062531471252441,1000,[1000],
NTRU,512,8.314182160621693,1.5,0.0,1.5677618980407715,1000,[1000],
NTRU,512,11.085576214162257,2.0,0.0,1.6225831508636475,1000,[1000],
PrimeCyclotomic,683,1.4789185237868923,0.8,0.0,2.1931867599487305,1000,[1000],
PrimeCyclotomic,683,1.848648154733615,1.0,0.0,2.230858087539673,1000,[1000],
PrimeCyclotomic,683,2.218377785680338,1.2,0.0,2.120515823364258,1000,[1000],
PrimeCyclotomic,683,2.7729722321004227,1.5,0.0,2.2113900184631348,1000,[1000],
PrimeCyclotomic,683,3.69729630946723,2.0,0.0,2.153179883956909,1000,[1000],
